Publication Number,DWPIManualCodes
US9742751B2,T01-S03
US9742751B2,W01-C01D3C
US9742751B2,W01-C01G8
US9742751B2,W01-C01P2
WO2019084049A1,T01-J10C5
WO2019084049A1,T01-J11A1
WO2019084049A1,T01-J14
WO2019084049A1,T01-S03
US9104855B2,T01-F05B2
US9104855B2,T01-J12C1A
US9104855B2,T01-M06S
US9104855B2,T01-N01A3
US9104855B2,T01-N02A3C
US9104855B2,T01-N02B1B
US9104855B2,T01-N02B2B
US9104855B2,T01-S03
US10565361B2,T01-J10B2A
US10565361B2,T01-J12C
US10565361B2,T01-N02A3C
US10565361B2,T01-N02B1B
US10565361B2,T01-S03
US9288198B2,T01-N02B1B
US9288198B2,T01-N02B1C
US9288198B2,T01-N02B2B
US9288198B2,W01-A05B
US9411951B2,T01-J05B4P
US9411951B2,T01-J12C
US9411951B2,T01-M06S
US9411951B2,T01-N02A3C
US9411951B2,T01-N02B1B
US9411951B2,T01-S03
US10120993B2,T01-D01
US10120993B2,T01-N01A1
US10120993B2,T01-N03
US10120993B2,T04-C
US10120993B2,T04-K03B
US10120993B2,W01-A05A1
US10120993B2,W01-A06C4
US9135424B2,T01-D01
US9135424B2,T01-N01A1
US9135424B2,T01-N03
US9135424B2,T04-C
US9135424B2,T04-K03B
US9135424B2,W01-A05A1
US9135424B2,W01-A06C4
EP3243156A4,T01-N01A1
EP3243156A4,T01-N02B1B
EP3243156A4,T01-N03A1
EP3243156A1,T01-N01A1
EP3243156A1,T01-N02B1B
EP3243156A1,T01-N03A1
WO2016111777A1,T01-N01A1
WO2016111777A1,T01-N02B1B
WO2016111777A1,T01-N03A1
US10474806B2,T01-E01A
US10474806B2,T01-J05B2B
US10474806B2,T01-M02
US10474806B2,T01-N02A3
US10474806B2,T01-N02B2B
US10474806B2,T01-N03A1
US10474806B2,T01-S03
US10133858B2,T01-E01A
US10133858B2,T01-J05B2B
US10133858B2,T01-M02
US10133858B2,T01-N02A3
US10133858B2,T01-N02B2B
US10133858B2,T01-N03A1
US10133858B2,T01-S03
US10311222B2,T01-F05G
US10311222B2,T01-J12C
US10311222B2,T01-N02A3
US10311222B2,T01-N02B1B
US10311222B2,T01-N02B1E
US10311222B2,T01-S03
US10277605B2,T01-F02C4
US10277605B2,T01-F03A
US10277605B2,T01-J12C
US10277605B2,T01-J20B1
US10277605B2,T01-N02B1B
US10277605B2,T01-S03
WO2016105892A1,P31-A05
WO2016105892A1,S05-D01
WO2016105892A1,W01-A06C4E
WO2016105892A1,W01-C01D3C
WO2016105892A1,W01-C01G8S
WO2016105892A1,W01-C01R
WO2016109096A1,T01-E01B
WO2016109096A1,T01-N01A1
WO2016109096A1,T01-N01A2D
WO2016109096A1,T01-N01C
WO2016109096A1,T01-N01D3
WO2016109096A1,T01-N02A2C
WO2016109096A1,T01-N02A3
WO2016109096A1,T01-N02B2A
WO2016109096A1,T01-S03
WO2016109096A1,T05-L02
WO2016109096A1,T05-L03C1
WO2019236903A1,T01-J05B4F
WO2019236903A1,T01-J10B2
WO2019236903A1,T01-J12
WO2019236903A1,T01-N02A3C
WO2019236903A1,T01-S03
WO2019236903A1,W01-A06C4
WO2019236903A1,W01-A06F
WO2019236903A1,W01-C01D3C
WO2019236903A1,W01-C01G8A
WO2019236903A1,W01-C01G8S
WO2019241432A1,T01-D01
WO2019241432A1,T01-N01A1
WO2019241432A1,T01-N02A1
WO2019241432A1,T01-N02A3
WO2019241432A1,T01-N02B1B
WO2019241432A1,T01-S03
EP3039601A4,T01-F05G
EP3039601A4,T01-N01A1
EP3039601A4,T01-N02A3
EP3039601A4,T01-N02B1E
EP3039601A4,T01-S03
EP3039601A4,W01-C01D3C
EP3039601A1,T01-F05G
EP3039601A1,T01-N01A1
EP3039601A1,T01-N02A3
EP3039601A1,T01-N02B1E
EP3039601A1,T01-S03
EP3039601A1,W01-C01D3C
US9984217B2,T01-F03A
US9984217B2,T01-J05B4P
US9984217B2,T01-N02A3C
US9984217B2,T01-N02B1B
US9984217B2,T01-S03
US9984217B2,W01-A06C4
US9984217B2,W01-A06F
US9460278B2,T01-J05A1
US9460278B2,T01-J12C
US9460278B2,T01-N02B1B
US10430566B2,T01-J05A1
US10430566B2,T01-J07D1
US10430566B2,T01-J12C1
US10430566B2,T01-N02B1B
US10430566B2,T01-S03
US9305152B2,T01-J05A1
US9305152B2,T01-J05B4M
US9305152B2,T01-J12C
US9305152B2,T01-N02B1B
US9305152B2,T01-S03
US9911120B2,A12-D05
US9911120B2,A12-E01
US9911120B2,A12-E12
US9911120B2,T01-J05A1
US9911120B2,T01-J12C
US9911120B2,T01-N01A1
US9911120B2,T01-N02B1B
US9911120B2,T01-S03
US9911120B2,T05-L02
US9911120B2,T05-L03C1
US9911120B2,W01-A06C4
US9911120B2,W01-A06F
US9911120B2,W01-C01D3C
US9928372B2,P81-A05
US9928372B2,P81-A15
US9928372B2,P81-A50E
US9928372B2,T01-J10B2A
US9928372B2,T01-J12C
US9928372B2,T01-N02B1B
US9928372B2,T04-H03D
US9928372B2,W03-A18A7
US9928372B2,W03-A18A8
US9552579B2,T01-N01A1
US9552579B2,T01-N01D
US9552579B2,T01-N02A2E
US9552579B2,T01-S03
US9552579B2,T04-J01
US9552579B2,T04-K02B
US9552579B2,T04-K03B
US9197634B2,T01-N02A3C
US9197634B2,W01-C01D3C
WO2020041746A1,T01-D01
WO2020041746A1,T01-F03
WO2020041746A1,T01-F05G3
WO2020041746A1,T01-J05B4A
WO2020041746A1,T01-J05B4M
WO2020041746A1,T01-J12C
WO2020041746A1,T01-N01A1
WO2020041746A1,T01-N02A3
WO2020041746A1,T01-N02B1B
WO2020041746A1,T01-S03
WO2020041746A1,W01-A05B
WO2019213175A1,T01-J12C
WO2019213175A1,T01-N01D2
WO2019213175A1,T01-N01D3
WO2019213175A1,T01-N02B1B
US10599832B2,S05-D
US10599832B2,T01-J12C
US10599832B2,T01-N01A
US10599832B2,T01-N01E
US10599832B2,T01-N02A3
US10599832B2,T01-N02B1B
US10599832B2,T01-S03
US9749312B2,T01-E01B
US9749312B2,T01-H07A
US9749312B2,T01-J12C1A
US9749312B2,T01-S03
US9386029B2,T01-J05B4P
US9386029B2,T01-N01D2
US9386029B2,T01-N01D3
US9386029B2,T01-N02A1A
US9386029B2,T01-N02A3
US9386029B2,T01-N02B2
US9386029B2,T01-S03
US9386029B2,W01-A06A3
US9386029B2,W01-A06B8A
US9386029B2,W01-A06F3
US9378356B2,T01-D01
US9378356B2,T01-F03A
US9378356B2,T01-J12C
US9378356B2,T01-N01A2D
US9378356B2,T01-N01D
US9378356B2,T01-N02A3
US9378356B2,T01-N02B1B
US9378356B2,T01-S03
US9378356B2,W01-C01D3C
US9378356B2,W01-C01G6
US10572658B2,T01-G02B
US10572658B2,T01-H01C2
US10572658B2,T01-J12C
US10572658B2,T01-M06S
US10572658B2,T01-N02A3C
US10572658B2,T01-N02B1B
US10572658B2,T01-N02B3
US10572658B2,T01-S03
EP3571597A1,T01-G02B
EP3571597A1,T01-H01C2
EP3571597A1,T01-J12C
EP3571597A1,T01-M06S
EP3571597A1,T01-N02A3C
EP3571597A1,T01-N02B1B
EP3571597A1,T01-N02B3
EP3571597A1,T01-S03
WO2018136899A1,T01-G02B
WO2018136899A1,T01-H01C2
WO2018136899A1,T01-J12C
WO2018136899A1,T01-M06S
WO2018136899A1,T01-N02A3C
WO2018136899A1,T01-N02B1B
WO2018136899A1,T01-N02B3
WO2018136899A1,T01-S03
US10079851B2,T01-J05B4P
US10079851B2,T01-M06A1
US10079851B2,T01-N01A
US10079851B2,T01-N02A1
US10079851B2,W01-A03B
US10079851B2,W01-A06F2A
US10079851B2,W01-A06G2
US10079851B2,W01-C01D3C
US10079851B2,W01-C01G8S
US9892412B2,T01-J07A3
US9892412B2,T01-M06A1
US9892412B2,T01-N02B2A
US9892412B2,T01-S03
US9892412B2,U13-A01
US9892412B2,W01-C01A5
US9892412B2,W01-C01D3C
US9892412B2,W01-C01G8
US9892412B2,W01-C01P2
US9892412B2,W01-C01P6C
US9892412B2,W01-C01Q5
US9892412B2,W01-C05B6
US9349126B2,T01-J07A3
US9349126B2,T01-M06A1
US9349126B2,T01-N02B2A
US9349126B2,T01-S03
US9349126B2,U13-A01
US9349126B2,W01-C01A5
US9349126B2,W01-C01D3C
US9349126B2,W01-C01G8
US9349126B2,W01-C01P2
US9349126B2,W01-C01P6C
US9349126B2,W01-C01Q5
US9349126B2,W01-C05B6
US9224140B2,T01-D01
US9224140B2,T01-N02A2E
US9224140B2,T01-N02A3C
US9224140B2,T01-N02B1B
US9224140B2,W01-A03B
US9224140B2,W01-A05A
US9224140B2,W01-A06C4
US9224140B2,W01-A06F
US9224140B2,W01-A06G2
US9224140B2,W02-C02
US8244641B2,T01-C03C
US8244641B2,T01-D01
US8244641B2,T01-J12C2
US8244641B2,T01-N01A1
US8244641B2,T01-N01D3
US8244641B2,T01-N02A3
US8244641B2,T01-N02B1B
US8244641B2,T01-N02B1G
US8244641B2,T01-N02B2A
US8244641B2,T01-N03A1
US8244641B2,T05-L01D
US8244641B2,W01-A06C4
US10104052B2,T01-J11C1
US10104052B2,T01-J20B1
US10104052B2,T01-S03
US10104052B2,W01-C01D3C
US9860244B2,T01-N02A3C
US9860244B2,T01-S03
US9860244B2,W01-A06C4
US9860244B2,W01-A06F
US9860244B2,W01-C01D3C
US9292677B2,T01-J12C
US9292677B2,T01-N02A3C
US9292677B2,T01-N02B1B
US9292677B2,T01-S03
US9286449B2,T01-J05B2
US9286449B2,T01-J12A
US9286449B2,T01-J12C
US9286449B2,T01-N02B1B
US9286449B2,T01-S03
US9286449B2,W01-C01D3C
US9286449B2,W01-C01G8A
US9286449B2,W01-C01P2
US10432657B2,T01-E01C
US10432657B2,T01-J05B4P
US10432657B2,T01-N01D2
US10432657B2,T01-N01D3
US10432657B2,T01-N02A1A
US10432657B2,T01-S03
US10015324B2,T01-M06S
US10015324B2,T01-N01A
US10015324B2,T01-N02A3C
US10015324B2,T01-S03
US10015324B2,W01-C01D3C
US10015324B2,W01-C05B6
US8423474B2,T01-N01A
US8423474B2,T01-N01D3
US8423474B2,T01-N02A2C
US8423474B2,T01-N02B1G
US8423474B2,T01-N02B2A
US10528949B2,T01-J05B4P
US10528949B2,T01-N01A1
US10528949B2,T01-N02A3C
US9449208B2,Q75-T20
US9449208B2,T04-A03B
US9449208B2,T04-K02B
US9449208B2,T04-K03A
US9449208B2,T04-K03B
US9449208B2,X27-F01
WO2019046344A1,T01-J05B2
WO2019046344A1,T01-J05B3
WO2019046344A1,T01-L02
WO2019046344A1,T01-N01A1
WO2019046344A1,T01-N03A2
WO2019046344A1,T01-S03
WO2019033397A1,T01-J05B4B
WO2019033397A1,T01-S03
US9336297B2,T01-H01B3
US9336297B2,T01-J05B1
US9336297B2,T01-J05B4P
US9336297B2,T01-J08A2
US9336297B2,T01-J11A1
US9336297B2,T01-J16C3
US9336297B2,T01-N01A2D
US9336297B2,T01-N01D2
US9336297B2,T01-N01D3
US9336297B2,T01-N03A2
US9336297B2,T01-N03B1
US9336297B2,T01-S03
US9552438B2,T01-J07D3A
US9552438B2,T01-J12
US9552438B2,T01-N01B4
US9552438B2,T01-N01D1B
US9552438B2,T01-N01D3
US9552438B2,T01-N02A2C
US9552438B2,T01-N02B2B
US9552438B2,T01-S03
US10482022B2,T01-F05E
US10482022B2,T01-M02A1A
US10482022B2,T01-M06A1A
US10482022B2,T01-N01D4
US10482022B2,T01-N02A3A
US9547601B2,T01-F05E
US9547601B2,T01-M02A1A
US9547601B2,T01-M06A1A
US9547601B2,T01-N01D4
US9547601B2,T01-N02A3A
US9448944B2,T01-F05E
US9448944B2,T01-M02A1A
US9448944B2,T01-M06A1A
US9448944B2,T01-N01D4
US9448944B2,T01-N02A3A
US9553781B2,T01-F03A
US9553781B2,T01-J05B4P
US9553781B2,T01-N02A3C
US9553781B2,T01-S03
US9529919B2,T01-J05B4P
US9529919B2,T01-N01A3
US9529919B2,T01-N01D2
US9529919B2,T01-N01D3
US9529919B2,T01-N02A2C
US9529919B2,T01-N03A2
US9535998B2,T01-J05B4B
US9535998B2,T01-N01A2C
US9535998B2,T01-N01A2F
US9535998B2,T01-N02A3C
US9535998B2,T01-N03A2
US9535998B2,T01-S03
US9535998B2,W01-C01D3C
US9529862B2,T01-F04
US9529862B2,T01-J05B4P
US9529862B2,T01-J07D1
US9529862B2,T01-N02A2C
US9529862B2,T01-N02A3C
US9529862B2,W03-A11M
US9529862B2,W03-A16E
US9953160B2,T01-J05B4P
US9953160B2,T01-J12C
US9953160B2,T01-N01A
US9953160B2,T01-N02A3C
US9953160B2,T01-N02B1B
US9953160B2,T01-S03
US9412128B2,T01-F07
US9412128B2,T01-J05B4B
US9412128B2,T01-J11E
US9412128B2,T01-J12
US9412128B2,T01-N01A
US9412128B2,T01-N01D
US9412128B2,T01-N02B1B
US9412128B2,T01-N03A2
US9412128B2,T01-N03B1
US9412128B2,T01-S03
US10552506B2,T01-M06S
US10552506B2,T01-N02A2C
US10552506B2,T01-N02A3C
US9411899B2,T01-M06S
US9411899B2,T01-N02A2C
US9411899B2,T01-N02A3C
US9405835B2,T01-J05B4M
US9405835B2,T01-N02B5
US9405835B2,T01-N03A1
US9405835B2,T01-N03A2
US9916349B2,T01-J05B3
US9916349B2,T01-J11A1
US9916349B2,T01-S03
US9633096B2,T01-J05B4B
US9633096B2,T01-S03
US9613373B2,T01-E01C
US9613373B2,T01-J05B4P
US9613373B2,T01-N01A2
US9613373B2,T01-N01D
US9613373B2,T01-N02A3C
US9613373B2,T01-N03A1
US9613373B2,T01-N03A2
US9613373B2,T01-S03
US9196002B2,T01-J05B4P
US9196002B2,T01-N01A2D
US9196002B2,T01-N02A2C
US9196002B2,T01-N02A3
US9183280B2,T01-J05B4P
US9183280B2,T01-N02A2C
US9183280B2,T01-N02A2D
US9183280B2,T01-N02A3C
US9183280B2,T01-N03A2
US9183280B2,T01-S03
US9183309B2,T01-J05B4P
US9183309B2,T01-N02B2
US9183309B2,T01-N03A2
WO2016178714A1,T01-F02C4
WO2016178714A1,T01-F03B1
WO2016178714A1,T01-S03
EP3014393A4,T01-J11A
EP3014393A4,T01-N03A1
EP3014393A4,T01-S03
EP3014393A4,W01-A03D5
EP3014393A4,W01-A07H2A
EP3014393A4,W01-C01D3C
EP3014393A4,W01-C01G8
EP3014393A4,W01-C01P2
EP3014393A4,W01-C01R
US9524277B2,T01-J11A
US9524277B2,T01-N03A1
US9524277B2,T01-S03
US9524277B2,W01-A03D5
US9524277B2,W01-A07H2A
US9524277B2,W01-C01D3C
US9524277B2,W01-C01G8
US9524277B2,W01-C01P2
US9524277B2,W01-C01R
EP3014393A1,T01-J11A
EP3014393A1,T01-N03A1
EP3014393A1,T01-S03
EP3014393A1,W01-A03D5
EP3014393A1,W01-A07H2A
EP3014393A1,W01-C01D3C
EP3014393A1,W01-C01G8
EP3014393A1,W01-C01P2
EP3014393A1,W01-C01R
US9697283B2,T01-J05B4P
US9697283B2,T01-N01A
US9697283B2,T01-N01B4
US9697283B2,T01-N01D2
US9697283B2,T01-N03A2
US9697283B2,T01-S03
WO2016007382A1,T01-J03
WO2016007382A1,T01-J05B4P
WO2016007382A1,T01-M06A1
WO2016007382A1,T01-N01A
WO2016007382A1,T01-N03A2
US10140339B2,T01-J05B4P
US10140339B2,T01-N01A2
US10140339B2,T01-N03A2
US10127501B2,T01-J05B4P
US10127501B2,T01-J12D
US10127501B2,T01-N01A2B
US10127501B2,T01-N01A2D
US10127501B2,T01-N01A2J
US10127501B2,T01-N01B1
US10127501B2,T01-N01D
US10127501B2,T01-N02A2E
US10127501B2,T01-N02A3C
US10127501B2,T01-N02B5
US10127501B2,T01-S03
US10127501B2,T05-L05A
US9508098B2,T01-E01A
US9508098B2,T01-E01B
US9508098B2,T01-J05B4P
US9508098B2,T01-J12
US9508098B2,T01-N01A2D
US9508098B2,T01-N02A2C
US9508098B2,T01-N02A3C
US9390165B2,T01-J05A2B
US9390165B2,T01-J05B4P
US9390165B2,T01-J21
US9390165B2,T01-S03
US9384286B2,T01-F05B2
US9384286B2,T01-J05B4P
US9384286B2,T01-J20B1
US9384286B2,T01-J21
US9384286B2,T01-M06S
US9384286B2,T01-N02A2C
US9384286B2,T01-N02A3C
US9384286B2,T01-N03A2
US9372909B2,T01-E01A
US9372909B2,T01-J05B4P
US9372909B2,T01-N02A3C
US9372909B2,T01-S03
US9792375B2,T01-J05B4P
US9792375B2,T01-J12
US9792375B2,T01-J21
US9792375B2,T01-N01A
US9792375B2,T01-N02A2C
US9792375B2,T01-N02A3C
US9792375B2,T01-N03A2
US9792375B2,T01-S03
US10108732B2,T01-F04
US10108732B2,T01-F07
US10108732B2,T01-J05B4P
US10108732B2,T01-N01A2D
US10108732B2,T01-S03
US10095782B2,T01-J05B4M
US10095782B2,T01-J11E
US10095782B2,T01-S03
US10089648B2,T01-J05B4M
US10089648B2,T01-N01A2C
US10089648B2,T01-N01A2F
US10089648B2,T01-N02A3C
US10089648B2,T01-N02B1B
US10089648B2,T01-N02B5
US10089648B2,T01-S03
US9852228B2,T01-H07A
US9852228B2,T01-J05B2B
US9852228B2,T01-J05B3
US9852228B2,T01-S03
US9852162B2,T01-E01A
US9852162B2,T01-J05B2B
US9852162B2,T01-J05B4P
US9852162B2,T01-J12
US9852162B2,T01-S03
US9460212B2,T01-E01
US9460212B2,T01-J05B3
US9460212B2,T01-S03
US9460151B2,T01-F05B2
US9460151B2,T01-J05B1
US9460151B2,T01-J05B2B
US9460151B2,T01-J05B3
US9460151B2,T01-J11A1
US9460151B2,T01-S03
US9449114B2,T01-J05B2B
US9449114B2,T01-N01D2
US9449114B2,T01-N01D3
US9449114B2,T01-N03A2
US9449114B2,T01-N03B2B
US9449114B2,T01-S03
US9443256B2,T01-J05B4M
US9443256B2,T01-N01A
US9443256B2,T01-N01C
US9443256B2,T01-N02A3C
US9443256B2,T01-N03A2
US9443256B2,W01-A06G5C
US9443256B2,W01-A06G5E
US9443256B2,W01-C01D3C
US9443256B2,W01-C01G6C
US9443209B2,T01-J05B4M
US9443209B2,T01-M06S
US9443209B2,T01-N02A2C
US9443209B2,T01-N02A3C
US9443209B2,T01-S03
WO2016109082A1,T01-C03A
WO2016109082A1,T01-J05B4P
WO2016109082A1,T01-J07D3
WO2016109082A1,T01-N01A1
WO2016109082A1,T01-N01A2L
WO2016109082A1,T01-N01E1
WO2016109082A1,T01-N02A1
WO2016109082A1,T01-N02A3C
WO2016109082A1,T01-S03
US9171056B2,T01-J05B4P
US9171056B2,T01-N01D
US9171056B2,T01-N02A3C
US9171056B2,T01-N03A1
US9171056B2,T01-N03A2
US9158768B2,T01-F04
US9158768B2,T01-F05B2
US9158768B2,T01-J05B4P
US9158768B2,T01-J11A1
US9158768B2,T01-N01D2
US9158768B2,T01-N01D3
US9158768B2,T01-N02A2C
US9158768B2,T01-N03A2
US9158768B2,T01-S03
US10031976B2,T01-J05B3
US10031976B2,T01-N02A2C
US10031976B2,T01-N02A3C
US10031976B2,T01-N02B2A
US10031929B2,T01-J20B1
US10031929B2,T01-N01A2A
US10031929B2,T01-N03B2
US10031929B2,T01-S03
US9892156B2,T01-J05B4P
US9892156B2,T01-N02B2A
US9892156B2,T01-N03A2
US9298785B2,T01-J05B4P
US9298785B2,T01-N03A2
US9298785B2,T01-S03
US9298785B2,W04-X01K1L
US9727638B2,T01-J05B3
US9727638B2,T01-J11A1
US9727638B2,T01-S03
US9613030B2,T01-J14
US9613030B2,T01-N01D2
US9613030B2,T01-S03
US9292498B2,T01-J14
US9292498B2,T01-N01D2
US9292498B2,T01-S03
US10452786B2,T01-J03
US10452786B2,T01-J04B2
US10452786B2,T01-J14
US10452786B2,T01-N03A2
US10452786B2,T01-S03
WO2016109102A1,T01-J03
WO2016109102A1,T01-J04B2
WO2016109102A1,T01-J14
WO2016109102A1,T01-N03A2
WO2016109102A1,T01-S03
US10318286B2,T01-F03
US10318286B2,T01-F05F
US10318286B2,T01-F05G3
US9373108B2,T01-J05B4P
US9373108B2,T01-N01A1
US9373108B2,T01-S03
US9373108B2,T05-L01D
US10474741B1,T01-C03A
US10474741B1,T01-F02C4
US10474741B1,T01-F03
US10474741B1,T01-J05B4P
US10474741B1,T01-J11A
US10474741B1,T01-J16C1
US10474741B1,T01-N03A1
US10474741B1,T01-N03A2
US10474741B1,T01-S03
WO2019113550A1,T01-J05B4P
WO2019113550A1,T01-J11A1
WO2019113550A1,T01-N03A1
WO2019113550A1,T01-S03
US10078415B2,T01-N01D2
US10078415B2,T01-N03A2
US10078415B2,T01-S03
US10078415B2,T04-F02A2
US10078415B2,W01-C01B8H
US10078415B2,W01-C01D3C
US10078415B2,W01-C01Q6A
US9146665B2,T01-N01D2
US9146665B2,T01-N03A2
US9146665B2,T01-S03
US9146665B2,T04-F02A2
US9146665B2,W01-C01B8H
US9146665B2,W01-C01D3C
US9146665B2,W01-C01Q6A
US9881006B2,T01-J05B2C
US9881006B2,T01-J14
US9881006B2,T01-N01A
US9881006B2,T01-N03B2
US10430487B2,T01-J04B2
US10430487B2,T01-J05B4P
US10430487B2,T01-N01D1
US10430487B2,T01-N01D3
US10430487B2,T01-N02A1A
US10430487B2,T01-N02A2
US10430487B2,T01-N02A3
US10430487B2,T01-N03A1
US10430487B2,T01-S03
US9378293B2,T01-J11A1
US9378293B2,T01-N03B2
US9378293B2,T01-S03
WO2016033476A1,T01-N02A2C
WO2016033476A1,T01-N03A2
WO2016033476A1,T01-S03
US9575967B2,T01-C08A
US9575967B2,T01-H07A
US9575967B2,T01-J08A3
US9575967B2,T01-S03
US9575967B2,T05-H05E
US9575967B2,T05-H08C1
US9575967B2,W04-X02A1
US9575967B2,W04-X02E
US9575967B2,W04-X03A
US9575967B2,W06-B
US10282060B2,T01-J05B4P
US10282060B2,T01-J12
US10282060B2,T01-N01D3
US10282060B2,T01-N03A2
US10282060B2,T01-S03
US10296890B2,W02-C03
US9785932B2,W02-C03
US9449318B2,W02-C03
US8757478B2,T01-N01A
US8757478B2,T01-N01D3
US10467790B2,T01-J10B2
US10467790B2,T01-J10C
US10467790B2,T01-J11A
US10467790B2,T01-N01D1B
US10467790B2,T01-N01D2
US10467790B2,T01-N01D3
US10467790B2,T01-N02A2C
US10467790B2,T01-N03A1
US10467790B2,T01-S03
EP3042313A4,T01-J05B4P
EP3042313A4,T01-N02A2C
EP3042313A4,T01-N02A3C
EP3042313A4,T01-N03A2
EP3042313A4,T01-S03
US9613161B2,T01-J05B4P
US9613161B2,T01-N02A2C
US9613161B2,T01-N02A3C
US9613161B2,T01-N03A2
US9613161B2,T01-S03
EP3042313A1,T01-J05B4P
EP3042313A1,T01-N02A2C
EP3042313A1,T01-N02A3C
EP3042313A1,T01-N03A2
EP3042313A1,T01-S03
US9460411B2,T01-J05A1
US9460411B2,T01-J05A2B
US9460411B2,T01-J07D1
US9460411B2,T01-J12C1
US9460411B2,T01-S03
US10078556B2,T01-G03
US10078556B2,T01-G11A
US10078556B2,T01-J05B4M
US10074064B2,T01-J07D1
US10074064B2,T01-N01A2E
US10074064B2,T01-N02A3C
US10074064B2,T01-S03
US9697628B2,T01-J10E
US9697628B2,T01-J11A
US9697628B2,T01-S03
US10317859B2,T01-C08A
US10317859B2,T01-F05B2
US10317859B2,T01-S03
US10317859B2,T06-A07A
WO2019118305A1,T01-J05A2B
WO2019118305A1,T01-J05B2C
WO2019118305A1,T01-J05B4P
WO2019118305A1,T01-S03
US10445755B2,T01-J05B2B
US10445755B2,T01-J05B4P
US10445755B2,T01-L02B
US10445755B2,T01-N01A
US10445755B2,T01-N01D2
US10445755B2,T01-N01D3
US10445755B2,T01-N02A2C
US10445755B2,T01-N02A3
US10445755B2,T01-N02B1B
US10445755B2,T01-S03
US10459986B2,T01-J05B4P
US10459986B2,T01-M06A1
US10459986B2,T01-N01A
US10459986B2,T01-N02B2A
US10459986B2,T01-N03A1
US10459986B2,T01-S03
US10366120B2,T01-C08A
US10366120B2,T01-J05B4P
US10366120B2,T01-J08A3
US10366120B2,T01-N02A3C
US10366120B2,T05-H05E
US10366120B2,T05-H08C1
US10366120B2,W01-A06C4
US10366120B2,W04-X02A1
US10366120B2,W04-X02A8
US10366120B2,W04-X03A
US10565591B2,T01-J05B4P
US10565591B2,T01-N01A1
US10565591B2,T01-N01D2
US10565591B2,T01-N03A1
US10565591B2,T01-N03B2
US10565591B2,T01-S03
WO2019118647A1,T01-E01C
WO2019118647A1,T01-J05B4P
WO2019118647A1,T01-S03
US10467224B2,T01-J05B4P
US10467224B2,T01-N01A
US10467224B2,T01-N03A2
US10467224B2,T01-S03
US10318536B2,T01-J05A
US10318536B2,T01-J05B3
US10402411B2,T01-J05B4P
US10402411B2,T01-J11A1
US10402411B2,T01-J12
US10402411B2,T01-N01D2
US10402411B2,T01-N01D3
US10402411B2,T01-N02A3
US10402411B2,T01-N03A1
US10402411B2,T01-N03A2
US10339103B2,T01-J05B4P
US10339103B2,T01-J12C
US10339103B2,T01-N01D2
US10339103B2,T01-N02B1B
US10339103B2,T01-S03
US9350741B2,T01-C03C
US9350741B2,T01-J20B1
US9350741B2,T01-N01A
US9350741B2,T01-N01B1
US9350741B2,T01-N02A3C
US9350741B2,T01-N02B1B
US9350741B2,T01-S03
US9350741B2,W01-C01D3C
US9350741B2,W01-C01G8
US9350741B2,W01-C01P2
US10362127B2,T01-J20B1
US10362127B2,T01-J40C
US10362127B2,T01-N01A
US10362127B2,T01-N01B4
US10362127B2,T01-N01D1B
US10362127B2,T01-N01D3
US10362127B2,T01-S03
US9679323B2,T01-J05B4P
US9679323B2,T01-J20B1
US9679323B2,T01-N01A1
US9679323B2,T01-N01A2
US9679323B2,T01-N02A3C
US9679323B2,T01-N02B1B
US9679323B2,T01-N03A1
US9679323B2,T01-S03
US9679323B2,T05-L02
US9679323B2,W01-A05B
US9626705B2,T01-J05B4P
US9626705B2,T01-J20B1
US9626705B2,T01-N01A1
US9626705B2,T01-N01A2
US9626705B2,T01-N02A3C
US9626705B2,T01-N02B1B
US9626705B2,T01-N03A1
US9626705B2,T01-S03
US9626705B2,T05-L02
US9626705B2,W01-A05B
US9589289B2,T01-J05B4P
US9589289B2,T01-J20B1
US9589289B2,T01-N01A1
US9589289B2,T01-N01A2
US9589289B2,T01-N02A3C
US9589289B2,T01-N02B1B
US9589289B2,T01-N03A1
US9589289B2,T01-S03
US9589289B2,T05-L02
US9589289B2,W01-A05B
US9508094B2,T01-J05B4P
US9508094B2,T01-J20B1
US9508094B2,T01-N01A1
US9508094B2,T01-N01A2
US9508094B2,T01-N02A3C
US9508094B2,T01-N02B1B
US9508094B2,T01-N03A1
US9508094B2,T01-S03
US9508094B2,T05-L02
US9508094B2,W01-A05B
US9268664B2,T01-E01A
US9268664B2,T01-M02
US9268664B2,T01-N01D3
US9268664B2,T01-N02A2D
US9268664B2,T01-N02A3
US9268664B2,T01-N02B1G
US9268664B2,T01-N02B2B
US9268664B2,T01-S03
US9268664B2,W01-A06A3
US9268664B2,W01-A06E1
US9104803B2,T01-F04
US9104803B2,T01-J05B4M
US9104803B2,T01-J20C
US9104803B2,T01-N02A2C
US9104803B2,T01-N03
US9104803B2,T01-S03
US9769272B2,W01-A06C4
US9386117B2,T01-F05E
US9386117B2,T01-J05B4P
US9386117B2,T01-M06S
US9386117B2,T01-N02A3C
US9386117B2,T01-N02B1A
US9386117B2,T01-N02B2B
US9386117B2,W01-C01D3C
US9363215B2,T01-J05B4B
US9363215B2,T01-J12D
US9363215B2,T01-N01D1B
US9363215B2,T01-N02A2E
US9363215B2,W01-A06B8C
US9363215B2,W04-F
US9178935B2,T01-E01A
US9178935B2,T01-F05B2
US9178935B2,T01-J05B3
